kernel,server_type,model,input_tokens,output_tokens,total_tokens
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,7633,535,8168
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,8754,2713,11467
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,7554,596,8150
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,9001,7622,16623
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,9116,5567,14683
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,9358,14394,23752
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,9916,27273,37189
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,11041,19476,30517
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,11140,13318,24458
105_LayerNorm_BigMean.py,kimi,kimi-k3,1064,7748,8812
105_LayerNorm_BigMean.py,kimi,kimi-k3,6841,1146,7987
105_LayerNorm_BigMean.py,kimi,kimi-k3,5393,287,5680
105_LayerNorm_BigMean.py,kimi,kimi-k3,6813,27236,34049
105_LayerNorm_BigMean.py,kimi,kimi-k3,8457,3379,11836
105_LayerNorm_BigMean.py,kimi,kimi-k3,8463,14622,23085
105_LayerNorm_BigMean.py,kimi,kimi-k3,8411,23782,32193
105_LayerNorm_BigMean.py,kimi,kimi-k3,9628,6921,16549
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,945,15030,15975
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6446,2493,8939
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,5333,704,6037
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6079,9482,15561
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6486,19609,26095
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7587,5005,12592
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7589,10748,18337
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7544,12274,19818
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7961,9367,17328
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7962,19193,27155
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,8339,10389,18728
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,9034,14182,23216
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,10371,18752,29123
