kernel,server_type,model,input_tokens,output_tokens,total_tokens
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,8631,4874,13505
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,9044,3621,12665
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,9043,8296,17339
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,9315,10657,19972
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,9549,17652,27201
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,11049,10219,21268
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,12125,12776,24901
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,12216,6198,18414
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,12391,6033,18424
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,11525,6311,17836
75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,kimi,kimi-k3,11535,14690,26225
105_LayerNorm_BigMean.py,kimi,kimi-k3,6433,23072,29505
105_LayerNorm_BigMean.py,kimi,kimi-k3,8294,24153,32447
105_LayerNorm_BigMean.py,kimi,kimi-k3,9663,20307,29970
105_LayerNorm_BigMean.py,kimi,kimi-k3,10344,3995,14339
105_LayerNorm_BigMean.py,kimi,kimi-k3,11412,13562,24974
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6314,5936,12250
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6699,7782,14481
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6771,4983,11754
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,6998,14885,21883
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7677,2816,10493
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7767,8622,16389
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7986,2717,10703
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,7979,2674,10653
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,10561,3089,13650
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,9414,611,10025
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,10561,2460,13021
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,9514,701,10215
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,8154,14655,22809
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,8337,8863,17200
107_Conv2D_SquareKernel3_bf16.py,kimi,kimi-k3,8572,26084,34656
